"","PRECINCT_NUMBER","ELECTION_DATE","ELECTION_NAME","WARD","PARTY","BALLOTS CAST - DEMOCRATIC","REGISTERED VOTERS - DEMOCRATIC","TURNOUT","UNDERVOTE","NORTON_VOTE","OTHERVOTE","VOTES","TOTALSHARE"
"351","65","2016","D.C. Primary Election","4","DEM","822","2960",0.28,"24","785","13",822,0.24
"352","66","2016","D.C. Primary Election","5","DEM","1293","5214",0.25,"40","1232","21",1293,0.38
"353","67","2016","D.C. Primary Election","5","DEM","951","3312",0.29,"30","896","25",951,0.28
"354","68","2016","D.C. Primary Election","5","DEM","620","2247",0.28,"27","575","18",620,0.18
"355","69","2016","D.C. Primary Election","5","DEM","624","2413",0.26,"15","595","14",624,0.19
"356","70","2016","D.C. Primary Election","5","DEM","411","1696",0.24,"16","382","13",411,0.12
"357","71","2016","D.C. Primary Election","5","DEM","561","2764",0.2,"13","538","10",561,0.17
"358","72","2016","D.C. Primary Election","5","DEM","761","5134",0.15,"31","720","10",761,0.23
"359","73","2016","D.C. Primary Election","5","DEM","562","2190",0.26,"22","526","14",562,0.17
"360","74","2016","D.C. Primary Election","5","DEM","817","5071",0.16,"26","768","23",817,0.24
"361","75","2016","D.C. Primary Election","5","DEM","765","4209",0.18,"27","721","17",765,0.23
"362","76","2016","D.C. Primary Election","5","DEM","154","1513",0.1,"10","141","3",154,0.05
"363","77","2016","D.C. Primary Election","5","DEM","586","3461",0.17,"13","558","15",586,0.17
"364","78","2016","D.C. Primary Election","5","DEM","416","3395",0.12,"9","403","4",416,0.12
"365","79","2016","D.C. Primary Election","5","DEM","244","2430",0.1,"13","226","5",244,0.07
"366","80","2016","D.C. Primary Election","7","DEM","428","2016",0.21,"23","388","17",428,0.13
"367","81","2016","D.C. Primary Election","6","DEM","1036","5681",0.18,"53","928","55",1036,0.31
"368","82","2016","D.C. Primary Election","6","DEM","755","3016",0.25,"33","680","42",755,0.22
"369","83","2016","D.C. Primary Election","6","DEM","1285","5306",0.24,"60","1182","43",1285,0.38
"370","84","2016","D.C. Primary Election","6","DEM","739","2379",0.31,"33","672","34",739,0.22
"371","85","2016","D.C. Primary Election","6","DEM","971","3159",0.31,"55","876","40",971,0.29
"372","86","2016","D.C. Primary Election","6","DEM","669","2589",0.26,"33","607","29",669,0.2
"373","87","2016","D.C. Primary Election","6","DEM","785","3212",0.24,"31","724","30",785,0.23
"374","88","2016","D.C. Primary Election","6","DEM","788","2456",0.32,"46","698","44",788,0.23
"375","89","2016","D.C. Primary Election","6","DEM","1051","3012",0.35,"63","928","60",1051,0.31
"376","90","2016","D.C. Primary Election","6","DEM","542","1816",0.3,"28","493","21",542,0.16
"377","91","2016","D.C. Primary Election","6","DEM","1085","4589",0.24,"60","969","56",1085,0.32
"378","92","2016","D.C. Primary Election","7","DEM","304","1756",0.17,"11","290","3",304,0.09
"379","93","2016","D.C. Primary Election","7","DEM","310","1862",0.17,"13","296","1",310,0.09
"380","94","2016","D.C. Primary Election","7","DEM","349","2305",0.15,"11","335","3",349,0.1
"381","95","2016","D.C. Primary Election","7","DEM","294","1992",0.15,"14","277","3",294,0.09
"382","96","2016","D.C. Primary Election","7","DEM","437","2714",0.16,"9","423","5",437,0.13
"383","97","2016","D.C. Primary Election","7","DEM","243","1635",0.15,"10","228","5",243,0.07
"384","98","2016","D.C. Primary Election","7","DEM","437","2125",0.21,"15","420","2",437,0.13
"385","99","2016","D.C. Primary Election","7","DEM","255","1758",0.15,"14","237","4",255,0.08
"386","100","2016","D.C. Primary Election","7","DEM","338","2528",0.13,"14","323","1",338,0.1
"387","101","2016","D.C. Primary Election","7","DEM","474","1886",0.25,"19","447","8",474,0.14
"388","102","2016","D.C. Primary Election","7","DEM","541","2747",0.2,"14","518","9",541,0.16
"389","103","2016","D.C. Primary Election","7","DEM","696","4076",0.17,"28","653","15",696,0.21
"390","104","2016","D.C. Primary Election","7","DEM","538","3536",0.15,"21","513","4",538,0.16
"391","105","2016","D.C. Primary Election","7","DEM","443","2735",0.16,"19","415","9",443,0.13
"392","106","2016","D.C. Primary Election","7","DEM","685","3435",0.2,"27","653","5",685,0.2
"393","107","2016","D.C. Primary Election","7","DEM","255","2104",0.12,"8","243","4",255,0.08
"394","108","2016","D.C. Primary Election","7","DEM","448","1260",0.36,"19","414","15",448,0.13
"395","109","2016","D.C. Primary Election","7","DEM","433","1106",0.39,"8","417","8",433,0.13
"396","110","2016","D.C. Primary Election","7","DEM","1113","4402",0.25,"37","1055","21",1113,0.33
"397","111","2016","D.C. Primary Election","7","DEM","493","2984",0.17,"22","465","6",493,0.15
"398","112","2016","D.C. Primary Election","8","DEM","486","2575",0.19,"21","459","6",486,0.14
"399","113","2016","D.C. Primary Election","7","DEM","673","2589",0.26,"21","636","16",673,0.2
"400","114","2016","D.C. Primary Election","8","DEM","575","3992",0.14,"35","528","12",575,0.17
"401","115","2016","D.C. Primary Election","8","DEM","411","3542",0.12,"26","382","3",411,0.12
"402","116","2016","D.C. Primary Election","8","DEM","614","4724",0.13,"39","571","4",614,0.18
"403","117","2016","D.C. Primary Election","8","DEM","399","2406",0.17,"21","374","4",399,0.12
"404","118","2016","D.C. Primary Election","8","DEM","464","3244",0.14,"20","439","5",464,0.14
"405","119","2016","D.C. Primary Election","8","DEM","372","3518",0.11,"25","342","5",372,0.11
"406","120","2016","D.C. Primary Election","8","DEM","490","2310",0.21,"48","434","8",490,0.15
"407","121","2016","D.C. Primary Election","8","DEM","662","3924",0.17,"37","619","6",662,0.2
"408","122","2016","D.C. Primary Election","8","DEM","358","2224",0.16,"14","340","4",358,0.11
"409","123","2016","D.C. Primary Election","8","DEM","473","2984",0.16,"20","448","5",473,0.14
"410","124","2016","D.C. Primary Election","8","DEM","567","3148",0.18,"24","535","8",567,0.17
